Label,2,In English
Subtotal,Итого,Subtotal
Discounted subtotal,Итого со скидкой,Discounted subtotal
Shipping cost,Стоимость доставки ,Shipping cost
home,Домой,home
Login,Логин,Login
OR,Или,OR
Email,Электронная почта,Email
Password,Пароль,Password
Register,Зарегистрироваться,Register
Recovery password,Восстановление пароля ,Recovery password
Zone details,Детали зоны ,Zone details
Zone name must be entered,Название зоны должно быть введено,Zone name must be entered
Zone name,Название зоны ,Zone name
Update,Обновить,Update
Create,Создать,Create
Clone,Дублировать,Clone
Countries,Страны,Countries
Set value,Установить значение,Set value
Unset value,Сбросить значение,Unset value
States,Регионы,States
Cities,Города,Cities
City mask examples,Примеры масок городов ,City mask examples
Zip/Postal codes,Почтовые индексы,Zip/Postal codes
Zipcode mask examples,Примеры масок почтовых индексов,Zipcode mask examples
Save zone details,Сохранять данные о зоне ,Save zone details
Membership,Подписка,Membership
Active,Активна,Active
Pos,Позиция,Pos
Assigned users,Назначенные пользователи,Assigned users
Delete selected,Удалить выбранные,Delete selected
No memberships defined,Членство не найдено,No memberships defined
Add new,Добавить новое,Add new
Add,Добавить,Add
Shipping methods,Способы доставки ,Shipping methods
Manage realtime shipping methods,Управление способами доставки в реальном времени,Manage realtime shipping methods
Shipping options,Опции доставки ,Shipping options
Shipping charges,Стоимость доставки ,Shipping charges
"Shipping is disabled. You can manage it <a href=""configuration/Shipping"">here</a>.","Доставка отключена. Вы можете управлять ей <а href=""конфигурация/доставка"">здесь</a>.","Shipping is disabled. You can manage it <a href=""configuration/Shipping"">here</a>."
Realtime shipping methods,Способы доставки в реальном времени ,Realtime shipping methods
Expand all,Развернуть,Expand all
Collapse all,Свернуть,Collapse all
"Please, check these new shipping methods","Пожалуйста, проверьте новые способы доставки ","Please, check these new shipping methods"
Shipping_method,Метод доставка,Shipping_method
Delivery time,Сроки доставки ,Delivery time
Destination,Пункт назначения,Destination
Service code,Код услуги,Service code
Weight limit,Ограничения по весу ,Weight limit
National,Национальная,National
International,Международная,International
Delete,Удалить,Delete
shipping methods are enabled from,Способы доставки доступны из,shipping methods are enabled from
Options,Опции,Options
Shipping method,Способ доставки ,Shipping method
Weight_limit,Лимит веса,Weight_limit
Define shipping method,Определить способ доставки ,Define shipping method
"Realtime shipping calcucation is disabled. You can manage it <a href=""configuration/Shipping"">here</a>","Calcucation реальном времени доставка отключена. Вы можете управлять им <а href=""конфигурация/доставка"">здесь</a>","Расчет доставки в реальном времени отключен. Управлять им можно <a href=""configuration/Shipping"">здесь</a>."
Defined shipping methods,Определенные способы доставки ,Defined shipping methods
Add shipping method,Добавить способ доставки ,Add shipping method
Apply changes,Применить изменения,Apply changes
Shipping markups,Надбавки к доставке,Shipping markups
Edit rates for,Редактирование тарифов для,Edit rates for
All methods,Всех способов,All methods
All zones,Всех зон,All zones
Add shipping rates values,Добавить стоимость тарифов доставки,Add shipping rates values
Apply rates to,Применить тарифы к,Apply rates to
Weight range,Весовому диапазону,Weight range
Flat charge,Фиксированной цене,Flat charge
Percent charge,Процентному сбору,Percent charge
Subtotal range,Промежуточному итогу,Subtotal range
Per item charge,Взимание платы за единицу товара,Per item charge
No shipping rates defined,Тарифы на доставку не указаны,No shipping rates defined
No shipping markups defined,Надбавки к доставке не указаны,No shipping markups defined
Add shipping charges,Добавить стоимость доставки,Add shipping charges
Add shipping markups,Добавить надбавки к доставке,Add shipping markups
Select one,Выберите один,Select one
Zone,Зона,Zone
Apply rate to,Применить тариф к,Apply rate to
User-defined shipping methods are not defined,Установленные пользователем способы доставки не определяются,User-defined shipping methods are not defined
Destination zones,Зоныа пунктов назначения,Destination zones
Check all,Отметить все,Check all
Uncheck all,Отменить выбор для всех,Uncheck all
Default zone,Зона по умолчанию,Default zone
Add new...,Добавить новую...,Add new...
Tax details,Налоговые данные,Tax details
Name,Имя,Name
Tax display name,Отображаемое название налога,Tax display name
Tax reg number,ИНН,Tax reg number
Tax priority,Приоритетность налога,Tax priority
Status,Статус,Status
Enabled,Включено,Enabled
Disabled,Отключено,Disabled
Tax apply to,Налог применяется к,Tax apply to
Undo,Отменить,Undo
Redo,Повторить,Redo
Clear,Очистить,Clear
Tax rates depended on,Ставка налога зависит от,Tax rates depended on
Shipping address,Адрес доставки,Shipping address
Billing address,Адрес выставления счета,Billing address
Included in product price,Включено в цену товара,Included in product price
Display including tax,Отображать с учетом налога,Display including tax
Display also,Отображать также,Display also
Display tax none,Не отображать налог,Display tax none
Display tax rate,Отображать ставку налога,Display tax rate
Display tax cost,Отображать стоимость налога,Display tax cost
Display tax rate and cost,Отображение ставку и стоимость налога,Display tax rate and cost
Save,Сохранить,Save
Tax rates,Налоговые ставки,Tax rates
Tax rate value,Значение налоговой ставки,Tax rate value
All,Все,All
No tax rates defined,Налоговые ставки не указаны,No tax rates defined
Apply tax to,Применить налог к,Apply tax to
Cancel,Отменить,Cancel
Your site URL,URL вашего сайта,Your site URL
Testimonial,Отзыв,Testimonial
Add testimonial,Добавить отзыв,Add testimonial
Result pages,Страницы результатов,Result pages
Prev page,Предыдущая страница,Prev page
Page,Страница,Page
Current page,Текущая страница,Current page
Next page,Следующая страница,Next page
Write testimonial,Написать отзыв,Write testimonial
Testimonials,Отзывы,Testimonials
URL,URL,URL
Pending,На рассмотрении,Pending
Approved,Одобрено,Approved
Modify,Изменить,Modify
No testimonials,Нет отзывов,No testimonials
No membership,Нет членства,No membership
Your profile,Ваш профиль,Your profile
Orders history,История заказов,Orders history
You have no orders yet.,У вас еще нет заказов.,You have no orders yet.
Firstname,Имя,Firstname
Lastname,Фамилия,Lastname
Phone,Телефон,Phone
Address,Адрес,Address
City,Город,City
State,Регион,State
Country,Страна,Country
Zip/Postal code,Почтовый индекс,Zip/Postal code
Your order placed successfully.,Ваш заказ успешно размещен.,Your order placed successfully.
We are unable to process your order.,Мы не можем обработать ваш заказ.,We are unable to process your order.
Print invoice,Распечатать счет-фактуру,Print invoice
Invoice,Счет-фактура,Invoice
Order,Заказ,Order
Delivery method,Способ доставки,Delivery method
Company information,Информация о компании,Company information
Customer information,Информация о клиенте,Customer information
E-mail,Электронная почта,E-mail
Products,Продукция,Products
Weight,Вес,Weight
Coupon discount,Скидка по купону,Coupon discount
Shipping,Доставка,Shipping
Tax,Налог,Tax
Total,Итого,Total
Comments,Комментарии,Comments
Thank you for your ordering,Спасибо за ваш заказ,Thank you for your ordering
Hello,Здравствуйте,Hello
recommended you this product,мы рекомендовали вам этот товар,recommended you this product
Category,Категория,Category
Product,товар,Product
site is temporary closed.,сайт временно недоступен.,site is temporary closed.
Modify category,Изменить категорию,Modify category
Category products,Товары категории,Category products
SKU,SKU,SKU
Product name,Название товара,Product name
Position,Позиция,Position
No products in this category,Нет товаров в этой категории,No products in this category
Code,Код,Code
No states defined in this country,В этой стране не определены регионы,No states defined in this country
Manage,Управление,Manage
Contact us,Свяжитесь с нами,Contact us
Your E-mail,Ваш E-mail,Your E-mail
Subject,Тема,Subject
Message,Сообщение,Message
"Please, enter your E-mail, subject and message.","Пожалуйста, введите ваш E-mail, тему и сообщение.","Please, enter your E-mail, subject and message."
Send,Отправить,Send
Coupon code,Код купона,Coupon code
Times to be used,Сроки для использования,Times to be used
No discount coupons defined,Купоны на скидку не указаны,No discount coupons defined
"Please, login to use the admin area","Пожалуйста, войдите в систему, чтобы использовать панель управления ","Please, login to use the admin area"
"Please, enter correct email and password","Пожалуйста, введите правильный email и пароль","Please, enter correct email and password"
Today's statistic,Статистика за сегодня,Today's statistic
Today's orders,Заказы за сегодня,Today's orders
Today's total,Итого за сегодня,Today's total
Today's paid,Оплачено за сегодня,Today's paid
Week's statistic,Статистика за неделю,Week's statistic
Week's orders,Заказы за неделю,Week's orders
Week's total,Итого за неделю,Week's total
Week's paid,Оплачено за неделю,Week's paid
Month's statistic,Статистика за месяц,Month's statistic
Month's orders,Заказы за месяц,Month's orders
Month's total,Итого за месяц,Month's total
Month's paid,Оплачено за месяц,Month's paid
Year's statistic,Статистика за год,Year's statistic
Year's orders,Заказы за год,Year's orders
Year's total,Итого за год,Year's total
Year's paid,Оплачено за год,Year's paid
General statistic,Общая статистика,General statistic
Total orders,Всего заказов,Total orders
Orders total,Общая сумма заказов,Orders total
Total paid,Всего оплачено,Total paid
Import language labels,Импортировать языковые метки,Import language labels
Import,Импорт,Import
Export language labels,Экспортировать языковые метки,Export language labels
Export,Экспорт,Export
Taxes,Налоги,Taxes
Tax name,Название налога,Tax name
Tax rates defined,Налоговые ставки указаны,Tax rates defined
Apply selected taxes to all products,Применить выбранные налоги ко всем товарам,Apply selected taxes to all products
No taxes defined,Налоги не указаны,No taxes defined
Display cart/order totals including tax,Отобразить итоговую стоимость корзины/заказа с учетом налога,Display cart/order totals including tax
Display a tax rate for each product in cart/order,Отображать ставку налога для каждого товара в корзине/заказе,Display a tax rate for each product in cart/order
Enable tax exemption for customers,Разрешить освобождение от налогов для клиентов,Enable tax exemption for customers
Allow customers to modify their tax number after tax exemption is enabled,Разрешить покупателям изменять свой ИНН после активации освобождения от налогов,Allow customers to modify their tax number after tax exemption is enabled
Statistic,Статистика,Statistic
Today,За сегодня,Today
This week,За неделю,This week
This month,За месяц,This month
This year,За год,This year
All time,За все время,All time
Search orders,Поиск заказов,Search orders
Select service,Выберите услугу,Select service
Carrier type,Тип перевозчика,Carrier type
Packaging,Упаковка,Packaging
Dropoff type,Тип доставки,Dropoff type
Ship date (days),Дата отправки (дни),Ship date (days)
Currency,Валюта,Currency
Package limits,Ограничения на упаковку,Package limits
Maximum package weight,Максимальный вес посылки,Maximum package weight
Maximum package dimensions,Максимальный размер посылки,Maximum package dimensions
Length,Длина,Length
Width,Ширина,Width
Height,Высота,Height
Split the shipment into multiple packages if its weight/dimensions exceed the limitations,"Разделите груз на несколько посылок, если его вес/габариты превышают установленные ограничения",Split the shipment into multiple packages if its weight/dimensions exceed the limitations
COD value,Значение COD,COD value
COD type,Тип COD,COD type
Any,Любой,Any
Guaranteed funds,Гарантированные средства,Guaranteed funds
Cash,Наличные,Cash
Special services,Специальные услуги,Special services
Dangerous Goods/Accessibility,Опасные грузы/доступность,Dangerous Goods/Accessibility
Accessible dangerous goods,Доступные опасные грузы,Accessible dangerous goods
Inaccessible dangerous goods,Недоступные опасные грузы,Inaccessible dangerous goods
Signature option,Возможность подписи,Signature option
No signature,Без подписи,No signature
Indirect signature required,Требуется косвенная подпись,Indirect signature required
Direct signature required,Требуется прямая подпись,Direct signature required
Adult signature required,Требуется подпись взрослого,Adult signature required
Shipment contains dry ice,Груз содержит сухой лед,Shipment contains dry ice
Shipment is Hold at Location,Доставка товара в пункт выдачи,Shipment is Hold at Location
Shipment is Inside Pickup,Доставка товара до двери,Shipment is Inside Pickup
Shipment is Inside Delivery,Доставка товара на дом,Shipment is Inside Delivery
Shipment is scheduled for Saturday pickup,Отправка запланирована на субботу,Shipment is scheduled for Saturday pickup
Shipment is scheduled for Saturday delivery,Доставка запланирована на субботу,Shipment is scheduled for Saturday delivery
Shipment is Residential Delivery,Груз доставляется по месту жительства,Shipment is Residential Delivery
Nonstandard container is used for a shipment,Для отправки используется нестандартный контейнер,Nonstandard container is used for a shipment
Additional charges,Дополнительные сборы,Additional charges
Send package cost to calculate insurance,Стоимость отправления для расчета страховки,Send package cost to calculate insurance
Handling charge amount,Плата за обработку груза,Handling charge amount
SmartPost Shipping settings,Настройки доставку SmartPost,SmartPost Shipping settings
Add SmartPost Shipping data to request,Добавить данные о доставке SmartPost к запросу,Add SmartPost Shipping data to request
Specify the indicia type,Укажите тип маркировки,Specify the indicia type
Specify an endorsement type,Укажите тип индоссамента,Specify an endorsement type
Specify the HubID,Укажите HubID,Specify the HubID
Fedex is not enabled,Fedex не активирован,Fedex is not enabled
Girth (required for non-rectangular Priority Mail large pieces),Обхват (требуется для непрямоугольных крупных отправлений Priority Mail),Girth (required for non-rectangular Priority Mail large pieces)
Automatically enable new shipping methods from shipping server response,Автоматическое включение новых методов доставки на основе ответа сервера доставки,Automatically enable new shipping methods from shipping server response
